vx0,vy0,vx1,vy1
0.34023354203118156,-0.3946741392101117,-0.34023354203118145,0.3946741392101117
0.3157838831793779,-0.39470317786666265,-0.3157838831793778,0.39470317786666265
0.291056447087514,-0.394752112876907,-0.2910564470875139,0.394752112876907
0.2660709918734202,-0.3948213531219674,-0.2660709918734201,0.3948213531219674
0.24084807059109617,-0.3949112564859646,-0.24084807059109606,0.3949112564859646
0.2154089779434925,-0.39502212735243647,-0.2154089779434924,0.39502212735243647
0.18977569214738702,-0.39515421434823483,-0.1897756921473869,0.39515421434823483
0.1639708122511138,-0.39530770835859685,-0.16397081225111368,0.39530770835859685
0.138017491257158,-0.3954827408349544,-0.1380174912571579,0.3954827408349544
0.11193936544990937,-0.3956793824145687,-0.11193936544990926,0.3956793824145687
0.0857604803733356,-0.39589764186828846,-0.08576048037333549,0.39589764186828846
0.0595052139432022,-0.39613746538966843,-0.05950521394320209,0.39613746538966843
0.03319819721300646,-0.39639873623539124,-0.03319819721300635,0.39639873623539124
0.006864233341375495,-0.39668127472346215,-0.006864233341375384,0.39668127472346215
-0.0194717846692326,-0.39698483859204237,0.01947178466923271,0.39698483859204237
-0.04578495687750374,-0.39730912371811333,0.04578495687750385,0.39730912371811333
-0.07205045935891279,-0.39765376519147877,0.0720504593589129,0.39765376519147877
-0.09824362661839461,-0.3980183387359725,0.09824362661839472,0.3980183387359725
-0.12434003287312105,-0.39840236246620814,0.12434003287312116,0.39840236246620814
-0.15031557163241854,-0.3988052989648395,0.15031557163241865,0.3988052989648395
-0.1761465330227839,-0.3992265576621454,0.17614653302278402,0.3992265576621454
-0.2018096783334534,-0.3996654974968684,0.2018096783334535,0.3996654974968684
-0.22728231129153667,-0.40012142983465665,0.22728231129153678,0.40012142983465665
-0.2525423456147258,-0.4005936216182216,0.25254234561472594,0.4005936216182216
-0.27756836843332183,-0.4010812987214646,0.27756836843332194,0.4010812987214646
-0.3023396992210068,-0.4015836494783545,0.3023396992210069,0.4015836494783545
-0.3268364439245996,-0.40209982835627883,0.3268364439245997,0.40209982835627883
-0.35103954403610144,-0.4026289597429382,0.35103954403610155,0.4026289597429382
-0.3510513712396979,-0.4031737563446557,0.351051371239698,0.4031737563446557
-0.32688046853218095,-0.40374127099651125,0.32688046853218106,0.40374127099651125
-0.3024331560450698,-0.4043354137598777,0.30243315604506993,0.4043354137598777
-0.27772876491183357,-0.40495617991328375,0.2777287649118337,0.40495617991328375
-0.2527874105687962,-0.4056034953702525,0.25278741056879633,0.4056034953702525
-0.22762994139885484,-0.40627721524077404,0.22762994139885495,0.40627721524077404
-0.2022778826340071,-0.4069771227464538,0.2022778826340072,0.4069771227464538
-0.17675337580085965,-0.4077029285072316,0.17675337580085976,0.4077029285072316
-0.15107911404297117,-0.4084542702143603,0.15107911404297128,0.4084542702143603
-0.12527827370082298,-0.40923071270083916,0.1252782737008231,0.40923071270083916
-0.09937444257360725,-0.4100317484167655,0.09937444257360736,0.4100317484167655
-0.0733915453261113,-0.41085679831315336,0.0733915453261114,0.41085679831315336
-0.04735376653805838,-0.4117052131337234,0.04735376653805849,0.4117052131337234
-0.021285471921720436,-0.41257627511005995,0.021285471921720547,0.41257627511005995
0.00478887174408156,-0.4134692000514248,-0.004788871744081449,0.4134692000514248
0.03084477739974058,-0.41438313981647135,-0.03084477739974047,0.41438313981647135
0.0568578186376725,-0.4153171851501935,-0.05685781863767239,0.4153171851501935
0.08280371020761854,-0.416270368865723,-0.08280371020761843,0.416270368865723
0.10865838752511951,-0.417241669347126,-0.1086583875251194,0.417241669347126
0.13439808462604097,-0.4182300143461932,-0.13439808462604086,0.4182300143461932
0.15999941002896761,-0.4192342850434205,-0.1599994100289675,0.4192342850434205
0.1854394199926102,-0.42025332034097684,-0.1854394199926101,0.42025332034097684
0.21069568868660943,-0.42128592135349296,-0.21069568868660932,0.42128592135349296
0.2357463748307039,-0.42233085606099247,-0.2357463748307038,0.42233085606099247
0.26057028439849644,-0.42338686408725484,-0.26057028439849633,0.42338686408725484
0.2851469290272678,-0.42445266156634226,-0.2851469290272677,0.42445266156634226
0.30945657982367003,-0.42552694605994323,-0.3094565798236699,0.42552694605994323
0.3334803163058566,-0.42660840148857115,-0.3334803163058565,0.42660840148857115
0.3572000702748463,-0.4276957030404852,-0.3572000702748462,0.4276957030404852
0.35709852110624585,-0.42880076204640427,-0.35709852110624574,0.42880076204640427
0.3331929122560593,-0.4299382757790009,-0.3331929122560592,0.4299382757790009
0.3090183325683051,-0.4311101721216145,-0.30901833256830497,0.4311101721216145
0.28459385398069986,-0.43231601783877943,-0.28459385398069975,0.43231601783877943
0.2599393056529785,-0.43355528924975967,-0.2599393056529784,0.43355528924975967
0.23507522337331824,-0.4348273718670329,-0.23507522337331813,0.4348273718670329
0.21002279442264388,-0.4361315605088965,-0.21002279442264377,0.4361315605088965
0.18480379817730036,-0.4374670598983539,-0.18480379817730025,0.4374670598983539
0.15944054277779135,-0.4388329857560247,-0.15944054277779124,0.4388329857560247
0.13395579823577708,-0.4402283663901744,-0.13395579823577697,0.4402283663901744
0.10837272639254161,-0.44165214478214887,-0.1083727263925415,0.44165214478214887
0.08271480817896168,-0.4431031811605948,-0.08271480817896157,0.4431031811605948
0.057005768658983186,-0.4445802560529239,-0.057005768658983075,0.4445802560529239
0.031269500365159984,-0.44608207379761694,-0.03126950036515987,0.44608207379761694
0.005529985455443663,-0.44760726649623367,-0.005529985455443552,0.44760726649623367
-0.020188782765245727,-0.44915439837948173,0.020188782765245838,0.44915439837948173
