step ,Epot               ,Ekin               ,Etot
   0 ,24.026089957232873 ,24.593258202375594 ,48.619348159608464
   1 ,23.965135485011626 ,24.535913536659812 ,48.501049021671435
   2 ,23.86334675912774  ,24.44021418856861  ,48.303560947696354
   3 ,23.720757690020548 ,24.30623550870022  ,48.02699319872077
   4 ,23.537580572759282 ,24.13422802804789  ,47.67180860080717
   5 ,23.314212440758613 ,23.924622773761648 ,47.238835214520265
   6 ,23.051242156494716 ,23.678037051334176 ,46.729279207828895
   7 ,22.74945813838785  ,23.395280595272858 ,46.14473873366071
   8 ,22.409856575810046 ,23.077361950178997 ,45.48721852598904
   9 ,22.033649933055706 ,22.725494901324762 ,44.759144834380464
  10 ,21.622275488622577 ,22.34110472886629  ,43.96338021748887
  11 ,21.177403599182163 ,21.925834013639275 ,43.10323761282144
  12 ,20.700945319553938 ,21.481547676300906 ,42.182492995854844
  13 ,20.195058952742855 ,21.010336887076956 ,41.205395839819815
  14 ,19.66215505014434  ,20.51452144265549  ,40.17667649279983
  15 ,19.10489933447068  ,19.99665017240289  ,39.10154950687357
  16 ,18.526212980488392 ,19.45949891103922  ,37.985711891527615
  17 ,17.929269665462925 ,18.90606556251539  ,36.83533522797832
  18 ,17.317488796810466 ,18.339561783598903 ,35.65705058040937
  19 ,16.694524343505734 ,17.763400839121893 ,34.457925182627626
  20 ,16.064248744705466 ,17.181181227236785 ,33.24542997194225
  21 ,15.430731447624085 ,16.596665745050746 ,32.02739719267483
  22 ,14.79821173965341  ,16.013755764412082 ,30.811967504065493
  23 ,14.171065688142072 ,15.436460614818204 ,29.607526302960274
  24 ,13.553767184133338 ,14.868862124121174 ,28.422629308254514
  25 ,12.950843300137546 ,14.315074544632603 ,27.26591784477015
  26 ,12.366824410266215 ,13.779200286875085 ,26.1460246971413
  27 ,11.806189774422066 ,13.265282087850029 ,25.071471862272094
  28 ,11.273309544583112 ,12.777252445482333 ,24.050561990065447
  29 ,10.772384396119975 ,12.318881344395091 ,23.091265740515066
  30 ,10.307384204684022 ,11.893723467901983 ,22.201107672586005
  31 , 9.881987363275412 ,11.505066224500213 ,21.387053587775625
  32 , 9.499522449460223 ,11.15588000254051  ,20.655402452000732
  33 , 9.16291399661391  ,10.848772094496267 ,20.011686091110178
  34 , 8.874634086645301 ,10.585945695771672 ,19.46057978241697
  35 , 8.636661361045343 ,10.369165279627508 ,19.00582664067285
  36 , 8.450448844250017 ,10.199729481400418 ,18.650178325650437
  37 , 8.3169016961716   ,10.078452398232573 ,18.395354094404173
  38 , 8.236365672997481 ,10.005653935853818 ,18.2420196088513
  39 , 8.208626695364245 , 9.98115952602859  ,18.189786221392836
  40 , 8.232921522439277 ,10.004309214059372 ,18.23723073649865
  41 , 8.307959132411778 ,10.073975793320736 ,18.381934925732516
  42 , 8.431952037043304 ,10.188591360922064 ,18.62054339796537
  43 , 8.602656430542153 ,10.346181401224912 ,18.948837831767065
  44 , 8.817419807468289 ,10.544405285053577 ,19.361825092521865
  45 , 9.073234491962195 ,10.780601911166071 ,19.853836403128266
