step,Epot,Ekin,Etot
0,-0.0333375423030556,0.27152653928432635,0.23818899698127075
1,-0.04937399124855977,0.2555100594938893,0.2061360682453295
2,-0.0643691379433525,0.2405430860119891,0.1761739480686366
3,-0.07826877250752011,0.2266776735975669,0.14840890109004679
4,-0.0910219420388857,0.21396269360677692,0.12294075156789122
5,-0.1025813025974525,0.20244350887670454,0.09986220627925203
6,-0.11290345238611862,0.19216166644719052,0.07925821406107189
7,-0.12194924228312261,0.18315461155801543,0.061205369274892826
8,-0.12968406006233646,0.17545542619124738,0.04577136612891092
9,-0.13607808488195364,0.16909259520530284,0.033014510323349205
10,-0.1411065089285345,0.16408980283073688,0.022983293902202384
11,-0.14474972346640674,0.160465761971777,0.01571603850537026
12,-0.14699346695701937,0.15823407838720893,0.011240611430189562
13,-0.14782893337169373,0.15740315141559572,0.009574218043901989
14,-0.14725283931593658,0.1579761124701549,0.01072327315421831
15,-0.1452674491049334,0.15995080206592996,0.01468335296099657
16,-0.14188055746807604,0.16331978566479008,0.02143922819671404
17,-0.13710543010470058,0.16807040814127788,0.0309649780365773
18,-0.1309607028535894,0.17418488619354472,0.04322418333995531
19,-0.12347024076373907,0.1816404375576158,0.058170196793876736
20,-0.11466295885464745,0.19040944543871302,0.07574648658406558
21,-0.10457260682015877,0.20045965615847128,0.0958870493383125
22,-0.09323752035329878,0.21175440763895306,0.11851688728565428
23,-0.08070034214266301,0.22425288600979054,0.1435525438671275
24,-0.06700771590788179,0.23791040733883304,0.17090269143095124
25,-0.05220995709786877,0.2526787212534028,0.20046876415553402
26,-0.03636070406817091,0.26850633304142685,0.23214562897325594
27,-0.019516553680751836,0.2853388407007546,0.26582228702000277
28,-0.018225901068464074,0.28578614305433203,0.267560241985868
29,-0.034164076653852904,0.2698578546136965,0.2356937779598436
30,-0.049087763017787424,0.2549529406957531,0.20586517767796567
31,-0.06294350174646343,0.24112277450941239,0.17817927276294895
32,-0.07568095941912262,0.2284156703986436,0.152734710979521
33,-0.08725327159008368,0.21687656584504436,0.12962329425496066
34,-0.09761736913319469,0.20654672024187928,0.1089293511086846
