step,Epot,Ekin,Etot
0,8572.066402213928,16.868497271435974,8588.934899485364
1,8583.716460184445,10.301469598057075,8594.017929782502
2,8586.971438415081,8.555804821466406,8595.527243236547
3,8576.764220111509,14.552462028887343,8591.316682140396
4,8561.546342022035,23.459359351331358,8585.005701373366
5,8554.386710086008,27.85681102832101,8582.24352111433
6,8558.426720224696,26.073297587659802,8584.500017812356
7,8561.789983063638,24.909016401324934,8586.698999464963
8,8550.028254964127,32.5107408030686,8582.538995767196
9,8522.946061502727,49.08961045487641,8572.035671957603
10,8493.347445594,67.6069424151566,8560.954388009157
11,8469.483995826127,83.49092592563534,8552.974921751762
12,8444.23211039861,100.89351955508994,8545.1256299537
13,8401.546316689783,129.19032397761882,8530.736640667401
14,8330.507335881912,174.91662916607444,8505.423965047987
15,8232.48749831888,237.5823310922832,8470.069829411163
16,8115.151116206685,313.09054635850697,8428.241662565193
17,7979.730265580134,400.9272750927487,8380.657540672883
18,7816.328163455569,506.52803756735574,8322.856201022925
19,7616.823818745333,633.5635612335028,8250.387379978836
20,7396.224836010132,771.5316450835301,8167.756481093662
21,7203.293652345141,889.6503517426104,8092.944004087751
22,7112.483165928946,943.5449033576845,8056.02806928663
23,7178.782699067622,905.7188505633769,8084.501549630999
24,7341.585264386647,811.249407501567,8152.834671888215
25,7503.769821137453,703.6086743952992,8207.378495532752
26,7739.279780346762,556.6710505028086,8295.950830849572
27,7957.026334270037,433.11377705448376,8390.140111324521
28,7902.995070015627,460.4252828313747,8363.420352847003
29,7733.095203501684,553.6495680406545,8286.744771542339
30,7758.7183809131875,549.12757076751,8307.845951680698
31,7843.31989089739,514.3373036130313,8357.65719451042
32,7715.206801311985,587.2704391316443,8302.47724044363
33,7518.335634322552,704.7905381575291,8223.12617248008
34,7406.205523090612,783.0176113765439,8189.223134467155
35,7302.307449746435,850.1850879725725,8152.4925377190075
36,7206.494919720509,907.2532289254069,8113.7481486459155
37,7195.034937986008,917.8718612457917,8112.9067992318
38,7225.439279591299,904.2561965490031,8129.695476140302
39,7210.2130339609785,908.8375281579256,8119.050562118904
40,7206.772938784006,904.7202500552912,8111.4931888392975
41,7268.20281779135,866.1481191937024,8134.350936985053
42,7323.136276452608,825.5574041821177,8148.693680634726
43,7379.078096897907,782.8598297721834,8161.937926670091
44,7479.9618038653725,728.0665950233883,8208.02839888876
45,7486.481448680241,725.8779620904988,8212.35941077074
46,7445.121612063261,738.9011460571899,8184.022758120451
47,7608.772386491647,647.1374953615428,8255.90988185319
48,7787.711828557356,543.046849835083,8330.75867839244
49,7769.539203689913,540.4402922578802,8309.979495947793
50,7720.557050016416,561.7841175551778,8282.341167571594
51,7789.826988000235,520.2612019428484,8310.088189943084
52,7927.823343421841,441.7959175027992,8369.619260924641
53,7949.21814461405,437.8607167723522,8387.078861386402
54,7710.208354215539,576.5622463355729,8286.770600551112
55,7449.759229520803,729.1942052414737,8178.953434762277
56,7438.1679838640885,743.0889562415778,8181.256940105666
57,7605.704190673569,660.1395143886609,8265.84370506223
